id;entorno;nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;direccion;lat;lng;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;imagen_1;imagen_2;imagen_3;imagen_4;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion;cuit_contratista;beneficiarios;mano_obra;compromiso;destacada;ba_elige;link_interno;pliego_descarga;expediente-numero;estudio_ambiental_descarga;financiamiento
2;Donado holmberg;Calle holmberg: nivelación en cruce;Finalizada;Espacio público;Secretarí­a de transporte y obras públicas;En el marco del proyecto urbano del barrio parque donado holmberg, se creó un parque lineal planteado como un recorrido que incluyó pequeñas plazas y generó continuidad fí­sica y espacial a lo largo de toda su traza, mediante la nivelación de los cruces en las intersecciones del par holmberg y donado con las calles tomás le bretón, pedro ignacio iivera, blanco encalada, mendoza, virrey del pino y carbajal.;9950017.0;12;Villa urquiza;Holmberg y olazabal av.;-34,57053344;-58,47561404;2015-03-16;2016-07-15;16;100.0;Https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/nivelacioncrucesholmberg/nivelacion_holmberg.jpg;N/A;N/A;N/A;Altote s.a;2014;Licitación pública;957/2014;30707431896;N/A;16;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/donado-holmberg;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/165;5515928/2014;N/A;N/A
3;Área ambiental central;Área ambiental central: calles alsina y moreno;Finalizada;Espacio público;Secretarí­a de transporte y obras públicas;Se intervinieron los tramos comprendidos entre la av. presidente julio argentino roca y la calle defensa, realizando obras de nivelación, colocación de dársenas de carga y descarga, nuevas luminarias y se reemplazó el pavimiento por el granitullo para recuperar el aspecto tradicional de la calle.;36942632.0;1;Montserrat;Alsina, adolfo e irigoyen, bernardo de;-34,6107259;-58,38060019;2016-01-12;2017-11-15;22;100.0;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/3-1.jpg;N/A;N/A;N/A;Rol ingenieria s.a;2016;Licitación pública;640-sigaf/16;30578447659;N/A;55;Si;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/area-ambiental-central;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev,php/licitation/index/id/227;N/A;N/A;N/A
4;Área ambiental central;Área ambiental central: calle esmeralda i;Finalizada;Espacio público;Secretarí­a de transporte y obras públicas;La obra incluyó el tramo ubicado entre la av. santa fe y la av. de mayo en donde se realizaron obras de nivelación con el objetivo de dejar un carril central para tránsito liviano, restringiendo el paso de colectivos. además, se intalarón nuevas luminarias y se plantarón árboles.;26938294.0;1;San nicolás;Esmeralda y corrientes av.;-34,60348697;-58,37807809;2014-10-27;2017-02-28;28;100.0;Https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/esmeraldaunoprioridadpeatonal/calle_esmeralda_prioridadpeatonal1.jpg;Https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/esmeraldaunoprioridadpeatonal/calle_esmeralda_prioridadpeatonal2.jpg;Https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/esmeraldaunoprioridadpeatonal/calle_esmeralda_prioridadpeatonal3.jpg;N/A;Dal construcciones s.a;2014;Licitación pública;305/2014;30604370171;N/A;59;Si;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/area-ambiental-central;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/161;N/A;N/A;N/A
32;Cuenca radio antiguo y ugarteche;Ramal austria i;Finalizada;Hidráulica e infraestructura;Secretarí­a de transporte y obras públicas;La obra consistió en un conducto de cuatro metros de diámetro realizado mediante la metodologí­a de túnel de excavación manual con revestimiento metálico tipo linner, que en su primera etapa de ejecución se complementó con ocho cámaras de ataque de 4 metros de diámetro ejecutadas con la misma tecnologí­a.;75368613.0;2;Recoleta;Del libertador av. y figueroa alcorta, pres. av.;-34,58658516;-58,3858523;2015-05-26;2018-01-30;32;100.0;Https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio116.jpg;N/A;N/A;N/A;Tecma s.a.;2015;N/A;N/A;30623866528;441092;50;Si;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/cuenca-radio-antiguo-y-ugarteche;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/183;N/A;N/A;N/A
35;Cuenca arroyo vega;Red pluvial iv: ampliación;Finalizada;Hidráulica e infraestructura;Secretarí­a de transporte y obras públicas;La obra consistió en la ejecución de conductos circulares con respectivas cámaras, sumideros, nexos y demás componentes secundarios, a fin de resolver en distintas ubicaciones los problemas de anegamientos producidos por la falta de red de captación pluvial, complementarios al plan director de ordenamiento hidráulico.;24536126.0;12;Coghlan;Quesada y perez, roque;-34,56034048;-58,47457524;2014-06-16;2016-10-31;28;100.0;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/arroyovega-foto1-web.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/arroyovega-foto2-web.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/arroyovega-foto3-web.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/arroyovega-foto4-web.jpg;Altote s.a. - naku construcciones s.r.l. - (ute);2013;Licitación pública;2529/2013;30712263454;1000000;17;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/cuenca-arroyo-vega;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/154;2769136/2013;N/A;N/A
36;Centro de exposiciones y convenciones;Centro de exposiciones y convenciones;Finalizada;Arquitectura;Secretarí­a de transporte y obras públicas;El equipamiento metropolitano del centro de exposiciones y convenciones se proyectó a partir de la idea de soterrar el edificio para liberar superficie e integrar la cubierta verde al parque thays y la plaza de las naciones unidas, formando un gran parque público. se ubica en el predio de av. figueroa alcorta al lado de la facultad de derecho constituyendo un enclave estratégico de la ciudad de buenos aires dada su localización y su potencialidad simbólica y espacial. el edificio tiene capacidad para 5.000 asistentes y está conformado por una sala plenaria y otras salas auxiliares divisibles. también cuenta con oficinas, espacios para reuniones, un restaurante, un estacionamiento para 900 vehí­culos y un foyer de 1.600 míâ². a su vez, tiene acceso a la estación facultad de derecho de la lí­nea h.;313660000.0;2;Recoleta;Couture, eduardo j. y vaz ferreira, carlos, dr.;-34,58343908;-58,38831874;2014-12-20;2017-04-30;28;100.0;Https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio140.jpg;Https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio148.jpg;Https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio149.jpg;Https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio150.jpg;C.r.i.b.a. sa - mejores hospitales sa - union transitoria de empresas;2013;Licitación pública;2.594/2013;30714365440;5000;170;N/A;Si;N/A;Https://www.buenosaires.gob.ar/baobras/centro-de-exposiciones-y-convenciones;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/155;4.150.195/2013;Https://cdn2.buenosaires.gob.ar/baobras/apra/ex-799350-2013.pdf;N/A
37;Edificio lezama;Edificio lezama: obra civil;Finalizada;Arquitectura;Secretarí­a de transporte y obras públicas;La obra del palacio lezama se integró dentro del plan de descentralización administrativa del gobierno porteño al sur de la ciudad. el edificio es patrimonio histórico de la ciudad y un hito de la memoria urbana del barrio de barracas que se encuentra ubicado sobre la av. martí­n garcí­a, entre la calle irala y av. regimiento de los patricios. posee una superficie aproximada de 30.000 m2 distribuidos en planta baja y 6 pisos, con acceso de vehí­culos por calle pilcomayo. fue remodelado y restaurado í­ntegramente, restaurando la fachada original para satisfacer los requerimientos tecnológicos, funcionales y de seguridad de las dependencias que trabajaban allí­. el edificio tiene capacidad para 3.100 puestos de trabajo correspondientes al ministerio de modernización, ministerio de desarrollo urbano y transporte, ministerio de ambiente y espacio público y sindicatura general.;52831053.0;4;La boca;Garcia, martin av. 346;-34,62890773;-58,36993913;2015-03-13;2016-12-30;21;100.0;Https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio141.jpg;Https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio151.jpg;N/A;N/A;Ses sa;2014;Licitación pública;1816/sigaf/2014;30647727545;3100;60;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/edificio-lezama;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/181;N/A;N/A;N/A
38;Cuenca arroyo vega;Arroyo vega - mejora de la eficiencia hidraulica;Finalizada;Hidráulica e infraestructura;Secretarí­a de transporte y obras públicas;Se llevó adelante la obra que implicó entabicar las columnas y las vigas para la mejora de la eficiencia hidráulica del conducto, asegurando el desplazamiento del fluido de la manera más eficaz posible. la obra se ejecutó entre las calles 11 de septiembre y balbí­n, bajo la calle blanco encalada.;20356959.0;13;Belgrano;Av. rafael obligado 6125;-34,551158;-58,428715;2014-12-22;2016-09-30;21;100.0;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/arroyovega-foto2-web.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/arroyovega-foto1-web.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/arroyovega-foto3-web.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/arroyovega-foto4-web.jpg;Tecma s.a.;2014;Licitación pública;1459/2014;30623866528;138942;17;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/cuenca-arroyo-vega;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/174;5.428.222/2014;N/A;N/A
39;Conector ambiental iriarte;Conector ambiental iriarte;Finalizada;Espacio público;Secretarí­a de transporte y obras públicas;Tipologí­a de calle con importante presencia de vegetación. forma parte de una red que permite conectar el conjunto de espacios verdes de la ciudad.;10984180.0;4;Parque patricios;Velez sarsfield av. y alcorta, amancio av.;-34,64019899;-58,38988716;2015-02-03;2017-07-28;29;100.0;Https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_conectoririarte_foto1.jpg;Https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_conectoririarte_foto2.jpg;Https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_conectoririarte_foto3.jpg;Https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_conectoririarte_foto4.jpg;Altote s.a;2014;Licitación pública;1526/2014;30707431896;29894;12;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/conector-ambiental-iriarte;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/176;N/A;N/A;N/A
40;Parque olí­mpico;Parque olí­mpico: cubierta arena parque roca.;Finalizada;Arquitectura;Secretarí­a de transporte y obras públicas;Como estrategia del desarrollo de la zona sur de la ciudad, llevando equipamiento de alta categorí­a a áreas históricamente relegadas, se construyó el techo corredizo para el estadio parque roca. dicha cubierta tiene 13 mil metros cuadrados y sirve para adecuar el recinto a la situación del clima. la capacidad aumentó de 14.500 a 15.500 espectadores, además, se mejoraron todos los accesos, circulaciones y el entorno en general, ya que el estadio parque roca fue una de las sedes donde se desarrollaron los juegos olí­mpicos de la juventud 2018.;103608164.0;8;Villa soldati;Autopista presidente hector j. campora y 27 de febrero av.;-34,67389687;-58,43605975;2013-12-26;2018-09-15;57;100.0;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/47-1.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/47-2.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/47-3.jpg;Https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/47-4.jpg;Teximco s.a. - dal constructora. s.a. ute;2013;Licitación pública;1.723/2013;30714751979;15500;30;N/A;N/A;N/A;Https://www.buenosaires.gob.ar/baobras/parque-olí­mpico;Https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/146;1.443.586/2013;N/A;N/A
